perspective,taxonomy,n,replicate,shuffle_id,n_disjoint,n_refs,dcor_A,dcor_B,disparity_A,disparity_B,hull_area
behavioral,behavioral,10,47,0,99,4,0.22653402024895697,0.3088017257732054,0.4883361325953766,0.6743872134747926,0.20503151119364743
behavioral,behavioral,10,48,0,99,4,0.46760824443783816,0.8366622977613781,0.4125805155476678,0.632573934285546,0.14484274614371695
behavioral,behavioral,10,49,0,99,4,0.38208849397850525,0.7292872981055591,0.7964908523094093,0.31696546652315083,0.1480470429866748
behavioral,behavioral,10,50,0,99,4,0.4255269732509832,0.5218014689527803,0.25421415674420306,0.20689643913128936,0.2537887397241777
behavioral,behavioral,10,51,0,99,4,0.4273186673654808,0.5810541808615994,0.587305892991149,0.35864173533541277,0.1443664342418086
behavioral,behavioral,10,52,0,99,4,0.8569775928845975,0.9598663838274653,0.04505579436828792,0.09873036389863646,0.2617128652069168
behavioral,behavioral,10,53,0,99,4,0.4799062483164017,0.8476812381754074,0.3894581283586373,0.14501469928087354,0.15068841868094796
behavioral,behavioral,10,54,0,99,4,0.41591231335505546,0.565840788100171,0.2754340408200786,0.32086801652198693,0.26327171536307237
behavioral,behavioral,10,55,0,99,4,0.4996194135447394,0.8361845579187427,0.5984491222492079,0.5685964734340009,0.19364327582687949
behavioral,behavioral,10,56,0,99,4,0.47643264968954996,0.8437855651291074,0.46437331272018995,0.6070789268044952,0.2731444141545642
behavioral,behavioral,10,57,0,99,4,0.5825035021164754,0.9102373826770495,0.22184215614081373,0.2421890721805357,0.20403558116469778
behavioral,behavioral,10,58,0,99,4,0.43828542322107716,0.5905600757927886,0.45718704248572034,0.3409684415324999,0.24092827268282888
behavioral,behavioral,10,59,0,99,4,0.24138578414190376,0.33154845135352196,0.5428510359680637,0.7059179764935992,0.18983277286036818
behavioral,behavioral,10,60,0,99,4,0.1478206728276622,0.28052122995160306,0.7953593864514846,0.38472611166154375,0.3285267227851788
behavioral,behavioral,10,61,0,99,4,0.3614362944150187,0.861827806495322,0.5775361648315286,0.47374567483382146,0.23988903726075536
behavioral,behavioral,10,62,0,99,4,0.29420982117749683,0.35181023472849854,0.460356952234957,0.46548141539503646,0.22074986505280594
behavioral,behavioral,10,63,0,99,4,0.17524152742401666,0.2737827252700333,0.6453851337553891,0.7144473470880914,0.13878056486300516
behavioral,behavioral,10,64,0,99,4,0.18743360996507516,0.19434303026911975,0.6092103499893513,0.5346246314613775,0.22157259113142896
behavioral,behavioral,10,65,0,99,4,0.1621476192590822,0.21724469260826076,0.710808107999194,0.4431386040781061,0.30800193469306036
