perspective,taxonomy,metric,mixture,n_models,n_within_pairs,n_between_pairs,within_mean,within_sd,between_mean,between_sd,ratio,n_between_same_seed_pairs,between_same_seed_mean,between_same_seed_sd,n_between_diff_seed_pairs,between_diff_seed_mean,between_diff_seed_sd,ratio_same_seed,seconds
structural_all_o,structural,cosine,yahoo_033g1_033g2_033g3_n1000_s00,10,45,1500,0.6290715061199095,0.0068560044671196994,0.7126125933552102,0.12395956395725902,0.8827678769442422,150,0.36798421646794877,0.09244004174055341,1350,0.7509046352315727,0.038223511165314694,1.7095067613442092,0.01
structural_all_o,structural,cosine,yahoo_050g1_000g2_050g3_n1000_s00,10,45,1500,0.6158235553479341,0.006318732418226016,0.7349554430064679,0.1207089469010255,0.8379059726788289,150,0.41711966834281705,0.11643355263384059,1350,0.7702705290802068,0.04702924509163931,1.4763714158925942,0.01
structural_all_o,structural,cosine,yahoo_050g1_025g2_025g3_n1000_s00,10,45,1500,0.6123663494507202,0.007532453431489629,0.7107324952911541,0.12591161308924886,0.8615989187322329,150,0.37206417526456687,0.11096714204802142,1350,0.7483623086274416,0.04568415703734581,1.6458621661579742,0.01
structural_all_o,structural,cosine,yahoo_050g1_050g2_000g3_n1000_s00,10,45,1500,0.6160637618544881,0.006681356295287098,0.7247686386539683,0.12431260476655928,0.8500143756201073,150,0.4008258135836725,0.12387295213514964,1350,0.7607622858840013,0.05010310600816172,1.536986244339986,0.01
structural_all_o,structural,cosine,yahoo_075g1_000g2_025g3_n1000_s00,10,45,1500,0.6085478400071149,0.008139927269712096,0.7450749003912907,0.1219378797889331,0.8167606232440847,150,0.44301062909756733,0.1374003049131579,1350,0.7786375972017044,0.05620271438391207,1.373664196831472,0.01
structural_all_o,structural,cosine,yahoo_075g1_025g2_000g3_n1000_s00,10,45,1500,0.6044670730484755,0.006730242021880055,0.7353910372495636,0.12275841860997652,0.8219668753500765,150,0.4249743877309196,0.1315871622436055,1350,0.7698817760849683,0.054074142764878194,1.422361183401963,0.01
structural_all_o,structural,cosine,yahoo_100g1_000g2_000g3_n1000_s00,10,45,1500,0.6008393398545959,0.00623035250267474,0.7758576591996166,0.11278050075417216,0.7744195507129858,150,0.5134176229000361,0.14474227949464416,1350,0.8050176632329035,0.05746164020979154,1.1702740869328925,0.01
functional_all,functional,cosine,ALL,160,720,12000,0.0014838907701118457,0.00011909422831853124,0.019360535022569982,0.007233058639491147,0.07664513239856059,1200,0.018801053234480357,0.007393997945291575,10800,0.019422699665691052,0.007212276319283715,0.07892593843574951,0.88
functional_all,functional,cosine,yahoo_000g1_000g2_100g3_n1000_s00,10,45,1500,0.0014521826111544634,0.00012205132609595687,0.025214679560526664,0.006860681862171864,0.05759274503840379,150,0.024782402024663374,0.0069921425710538195,1350,0.025262710397844803,0.006844234166113705,0.05859733086846285,0.88
functional_all,functional,cosine,yahoo_000g1_025g2_075g3_n1000_s00,10,45,1500,0.0014931316462924707,0.0001069171438702273,0.019702694660348297,0.006175563926283502,0.07578311860546671,150,0.019157322189195428,0.00631804681530705,1350,0.019763291601587508,0.0061565475848423205,0.07794051963768635,0.88
