perspective,kind,init_seed,model_id,mixture,dim1,dim2
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_100g1_000g2_000g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_100g1_000g2_000g3_n1000_s00,-0.023564638569951057,-0.35161206126213074
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_075g1_025g2_000g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_075g1_025g2_000g3_n1000_s00,0.07033650577068329,-0.24259622395038605
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_075g1_000g2_025g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_075g1_000g2_025g3_n1000_s00,-0.10880377888679504,-0.25033214688301086
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_050g2_000g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_050g1_050g2_000g3_n1000_s00,0.18233947455883026,-0.11298122256994247
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_025g2_025g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_050g1_025g2_025g3_n1000_s00,0.0062736086547374725,-0.11922162026166916
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_000g2_050g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_050g1_000g2_050g3_n1000_s00,-0.1980791985988617,-0.10804449766874313
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_033g1_033g2_033g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_033g1_033g2_033g3_n1000_s00,0.0034262724220752716,-0.0058267791755497456
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_075g2_000g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_025g1_075g2_000g3_n1000_s00,0.2461719661951065,0.019531194120645523
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_050g2_025g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_025g1_050g2_025g3_n1000_s00,0.11532717198133469,0.04169021174311638
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_025g2_050g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_025g1_025g2_050g3_n1000_s00,-0.0839696079492569,0.05011351779103279
structural_all_o,seed_aligned,1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_000g2_075g3_n1000_s00_r16_i01_b5008_fea27ccee,yahoo_025g1_000g2_075g3_n1000_s00,-0.26630595326423645,0.05253197252750397
