perspective,taxonomy,metric,arm,yahoo_pct,kind,seed,model_id,mixture,dim1,dim2
behavioral,behavioral,cosine,dolly,0,pooled,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_075g2_025g3_n1000_s00_r16_i00_b5008_fea27ccee,0/75/25,0.20486988127231598,-0.2306934893131256
behavioral,behavioral,cosine,dolly,0,pooled,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_050g2_050g3_n1000_s00_r16_i00_b5008_fea27ccee,0/50/50,-0.03833811357617378,-0.22628246247768402
behavioral,behavioral,cosine,dolly,0,pooled,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_025g2_075g3_n1000_s00_r16_i00_b5008_fea27ccee,0/25/75,-0.18438315391540527,-0.16705699265003204
behavioral,behavioral,cosine,dolly,0,pooled,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_000g2_100g3_n1000_s00_r16_i00_b5008_fea27ccee,0/0/100,-0.3100864589214325,-0.09746066480875015
behavioral,behavioral,cosine,dolly,0,mean,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_100g1_000g2_000g3_n1000_s00_r16_i00_b5008_fea27ccee,100/0/0,-6.56267495596137e-17,0.30382779240608215
behavioral,behavioral,cosine,dolly,0,mean,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_075g1_025g2_000g3_n1000_s00_r16_i00_b5008_fea27ccee,75/25/0,0.16935938596725464,0.22262559831142426
behavioral,behavioral,cosine,dolly,0,mean,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_075g1_000g2_025g3_n1000_s00_r16_i00_b5008_fea27ccee,75/0/25,-0.10030223429203033,0.2309800237417221
behavioral,behavioral,cosine,dolly,0,mean,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_050g2_000g3_n1000_s00_r16_i00_b5008_fea27ccee,50/50/0,0.22769589722156525,0.06781206279993057
behavioral,behavioral,cosine,dolly,0,mean,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_025g2_025g3_n1000_s00_r16_i00_b5008_fea27ccee,50/25/25,0.06290534138679504,0.1511732041835785
behavioral,behavioral,cosine,dolly,0,mean,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_000g2_050g3_n1000_s00_r16_i00_b5008_fea27ccee,50/0/50,-0.18777962028980255,0.14462700486183167
behavioral,behavioral,cosine,dolly,0,mean,-1,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_033g1_033g2_033g3_n1000_s00_r16_i00_b5008_fea27ccee,33/33/33,0.031124310567975044,0.013134478591382504
