perspective,taxonomy,metric,n_samples,seed,n_models,dcor_requested,dcor_realized,disparity_requested,disparity_realized,max_realized_deviation
structural_last_o,structural,cosine,1000,1,16,0.9541682235130532,0.954178725439782,0.015173570307601088,0.015163069776337041,0.0006666666666667043
structural_last_o,structural,cosine,1000,2,16,0.8959281512620135,0.8959265666628619,0.020626301964345492,0.0206290503021941,0.0006666666666667043
structural_last_o,structural,cosine,1000,3,16,0.9513296168562196,0.9513529668593398,0.02374605049569628,0.023735011357798274,0.0006666666666667043
structural_last_o,structural,cosine,1000,4,16,0.9425934367954275,0.942615215922481,0.02090409426050098,0.020893367685525785,0.0006666666666667043
structural_last_o,structural,cosine,1000,5,16,0.9115128824491604,0.9115074878129886,0.0480275737231137,0.048020496201489675,0.0006666666666667043
structural_last_o,structural,cosine,1000,6,16,0.9439364817071956,0.9439344254845811,0.013427104886974416,0.013432430530486946,0.0006666666666667043
structural_last_o,structural,cosine,1000,7,16,0.9436455868520709,0.9436043345883093,0.01920796816506931,0.01923454002409137,0.0006666666666667043
structural_last_o,structural,cosine,1000,8,16,0.9512333811907924,0.9511703765657004,0.020395791005951982,0.020422233736331175,0.0006666666666667043
structural_last_o,structural,cosine,1000,9,16,0.9440630063861465,0.9440764184183025,0.023104031422705736,0.0231038440956899,0.0006666666666667043
structural_last_o,structural,cosine,2000,0,16,0.9615956037956996,0.9616170581037619,0.012334114645498277,0.012325116156810038,0.0003333333333332966
structural_last_o,structural,cosine,2000,1,16,0.9492079310971421,0.9492064154089891,0.020344212079676828,0.020345256668538713,0.0003333333333332966
structural_last_o,structural,cosine,2000,2,16,0.9691590147248614,0.9691637155711224,0.021548732694024946,0.021549500977639618,0.0003333333333332966
structural_last_o,structural,cosine,2000,3,16,0.9392587020339972,0.9392582399795599,0.013691855432477081,0.01369001538364753,0.0003333333333332966
structural_last_o,structural,cosine,2000,4,16,0.9567154530982722,0.9567130729381993,0.021672532695210335,0.0216746638424051,0.0003333333333332966
structural_last_o,structural,cosine,2000,5,16,0.9562095790405106,0.9561832823976298,0.013590736872007398,0.013602125262439382,0.0003333333333332966
structural_last_o,structural,cosine,2000,6,16,0.9478992502506218,0.9478974949338252,0.021859560901684963,0.02186046458053549,0.0003333333333332966
structural_last_o,structural,cosine,2000,7,16,0.9421860561920774,0.9421838932583247,0.025737784004192965,0.025740094819355464,0.0003333333333332966
structural_last_o,structural,cosine,2000,8,16,0.9569361738700816,0.9569398124990242,0.015952097188856724,0.015951268458238098,0.0003333333333332966
structural_last_o,structural,cosine,2000,9,16,0.9649616164047427,0.9649577956981825,0.01638868097389066,0.0163893655786238,0.0003333333333332966
structural_last_o,structural,cosine,5000,0,16,0.9667518248359139,0.9667529828807563,0.014968343392674149,0.014967685890373767,0.00013333333333331865
structural_last_o,structural,cosine,5000,1,16,0.9497603854192675,0.9497586329469836,0.017236242173350298,0.01723592602506838,0.00013333333333331865
structural_last_o,structural,cosine,5000,2,16,0.9636016460806588,0.963599347617734,0.007715102946067195,0.007715199818082077,0.00013333333333331865
structural_last_o,structural,cosine,5000,3,16,0.9568347171700273,0.9568339759793766,0.01509731656432566,0.015097746991886039,0.00013333333333331865
structural_last_o,structural,cosine,5000,4,16,0.9689352731436957,0.9689343687230717,0.01469541609465104,0.014695414876635601,0.00013333333333331865
structural_last_o,structural,cosine,5000,5,16,0.9602740206586627,0.9602761319832628,0.018007552205847537,0.018006018768735067,0.00013333333333331865
structural_last_o,structural,cosine,5000,6,16,0.9627499810422127,0.9627476216724039,0.01600197583849424,0.016002396756601478,0.00013333333333331865
structural_last_o,structural,cosine,5000,7,16,0.955140604317851,0.9551418244828854,0.02026400519974788,0.02026266691631133,0.00013333333333331865
structural_last_o,structural,cosine,5000,8,16,0.9646173008993805,0.9646255445841303,0.013742265123674824,0.013736951408846041,0.00013333333333331865
structural_last_o,structural,cosine,5000,9,16,0.9689395026549035,0.9689434704805818,0.014156391479477611,0.014155245152242356,0.00013333333333331865
functional_all,functional,cosine,10,0,16,0.7998816580238874,0.7759334002387769,0.10062870593121319,0.1235508621874891,0.06666666666666671
functional_all,functional,cosine,10,1,16,0.8416111609443605,0.815909967001061,0.16008286874243177,0.1714666152973391,0.06666666666666671
functional_all,functional,cosine,10,2,16,0.8377138303317936,0.8613033123847226,0.20349222549149115,0.2000607376960832,0.06666666666666671
functional_all,functional,cosine,10,3,16,0.7448972786017092,0.7513174607090166,0.15239515931821718,0.15023860379673604,0.06666666666666671
functional_all,functional,cosine,10,4,16,0.6748934188240647,0.6326491922587516,0.3044262854316111,0.33623535617301414,0.06666666666666671
functional_all,functional,cosine,10,5,16,0.8195726870696975,0.8247984279706874,0.12561914707915353,0.12314845307551217,0.06666666666666671
functional_all,functional,cosine,10,6,16,0.9131654291197746,0.9268348404707373,0.033127884362889985,0.02979704485780029,0.06666666666666671
functional_all,functional,cosine,10,7,16,0.6213486653507234,0.5839104210905897,0.475100577220858,0.47893359331446334,0.06666666666666671
functional_all,functional,cosine,10,8,16,0.692098317017493,0.7502935687912959,0.20021799662206297,0.16058784177778423,0.06666666666666671
functional_all,functional,cosine,10,9,16,0.6956389425705486,0.7121279099874299,0.25902854924776775,0.26051142503452296,0.06666666666666671
functional_all,functional,cosine,20,0,16,0.9407310497018638,0.9418010975965425,0.047066288031061554,0.04533380014661492,0.033333333333333326
functional_all,functional,cosine,20,1,16,0.8891378907867554,0.8902420800117479,0.08628430571204282,0.0853571123868088,0.033333333333333326
functional_all,functional,cosine,20,2,16,0.9156792617356779,0.9181032997792394,0.05073687650545026,0.04873665761573846,0.033333333333333326
functional_all,functional,cosine,20,3,16,0.9262244130279295,0.9273197212433507,0.08235179828997966,0.08139002328941201,0.033333333333333326
functional_all,functional,cosine,20,4,16,0.6800324784421796,0.68115606209182,0.34719124025147924,0.34508767011599367,0.033333333333333326
functional_all,functional,cosine,20,5,16,0.7324601289401053,0.7284590013264508,0.25858672886260087,0.25999007614056485,0.033333333333333326
functional_all,functional,cosine,20,6,16,0.8598255839574763,0.8584093935882048,0.13505056942625585,0.13956869103524974,0.033333333333333326
functional_all,functional,cosine,20,7,16,0.710443942157933,0.7163261433831806,0.2760664130538204,0.273799988794595,0.033333333333333326
functional_all,functional,cosine,20,8,16,0.7369425778891745,0.744009814027166,0.2802660799992181,0.2761486542821876,0.033333333333333326
functional_all,functional,cosine,20,9,16,0.835245382157865,0.8291207912561596,0.18532961892217573,0.18929775523732612,0.033333333333333326
functional_all,functional,cosine,50,0,16,0.9422620184897674,0.9375304366712053,0.04404229152648413,0.0479971819909774,0.013333333333333308
functional_all,functional,cosine,50,1,16,0.9451828628396991,0.9428760209795675,0.03150579132288335,0.033322507121511066,0.013333333333333308
functional_all,functional,cosine,50,2,16,0.918117017454134,0.9171523398270048,0.058234335907341464,0.0584560192388687,0.013333333333333308
functional_all,functional,cosine,50,3,16,0.8981297069945146,0.9004739700032452,0.041826572045231436,0.04068238902408287,0.013333333333333308
functional_all,functional,cosine,50,4,16,0.9159265810041435,0.9168593061565516,0.06123477356565628,0.0614324642306109,0.013333333333333308
functional_all,functional,cosine,50,5,16,0.9212011187489615,0.920311819801759,0.04838619815355169,0.0494794762719761,0.013333333333333308
functional_all,functional,cosine,50,6,16,0.9010694389474031,0.8983658018307749,0.0484043558435982,0.049515834159223795,0.013333333333333308
functional_all,functional,cosine,50,7,16,0.8855790283629275,0.884556588822915,0.07057123946432277,0.07039029323796903,0.013333333333333308
functional_all,functional,cosine,50,8,16,0.9310759122463638,0.9304670615431432,0.04960119795043,0.05128995829786909,0.013333333333333308
functional_all,functional,cosine,50,9,16,0.9409359024037464,0.939685930280156,0.02238721474624368,0.02334117924597689,0.013333333333333308
functional_all,functional,cosine,100,0,16,0.9594659307822655,0.9587306599161294,0.03187840383245216,0.032250317350279833,0.00666666666666671
functional_all,functional,cosine,100,1,16,0.9550496974091973,0.9547883780814269,0.02211921091493199,0.022253515589255174,0.00666666666666671
functional_all,functional,cosine,100,2,16,0.9354205751820022,0.9350506297500679,0.03701649356199415,0.03722847613039425,0.00666666666666671
functional_all,functional,cosine,100,3,16,0.9167225815237191,0.916933467751612,0.04482024508862843,0.04470948551441347,0.00666666666666671
functional_all,functional,cosine,100,4,16,0.9574819756307856,0.9572201994045085,0.02985593378083142,0.029984788389146377,0.00666666666666671
functional_all,functional,cosine,100,5,16,0.9570668025109,0.9566682169989847,0.029287152671291346,0.029485997499138297,0.00666666666666671
functional_all,functional,cosine,100,6,16,0.9705042143190086,0.9705083922513214,0.01596700522069807,0.015949488735834818,0.00666666666666671
functional_all,functional,cosine,100,7,16,0.9429095101685964,0.9431692277686043,0.03537633856325259,0.03538009079728312,0.00666666666666671
functional_all,functional,cosine,100,8,16,0.9445242094545404,0.944623420816684,0.0314963487397426,0.031448558639361524,0.00666666666666671
functional_all,functional,cosine,100,9,16,0.9518962009797319,0.9517450647385814,0.03804346356346208,0.03818255108682872,0.00666666666666671
functional_all,functional,cosine,200,0,16,0.9605071376993438,0.9604602172692951,0.0138209544058818,0.013837194456866427,0.0033333333333332993
functional_all,functional,cosine,200,1,16,0.9778450912737281,0.9779433631195013,0.015930429124579898,0.01587869825797959,0.0033333333333332993
functional_all,functional,cosine,200,2,16,0.9636810468977081,0.9638232023352472,0.02239288423913758,0.022314310065332552,0.0033333333333332993
functional_all,functional,cosine,200,3,16,0.9772040673718574,0.9772322192698802,0.0063694389260292115,0.006348885435298924,0.0033333333333332993
functional_all,functional,cosine,200,4,16,0.9778007134149228,0.9778360166882285,0.015150948719384865,0.015146685814206457,0.0033333333333332993
functional_all,functional,cosine,200,5,16,0.9687336082157629,0.9687121456623146,0.026133991507895145,0.026120788577183682,0.0033333333333332993
functional_all,functional,cosine,200,6,16,0.9847208258685836,0.9847775077500992,0.009404669082813292,0.009380214871654354,0.0033333333333332993
functional_all,functional,cosine,200,7,16,0.9680523945263493,0.9682556819073619,0.012063638754095192,0.011953937836192252,0.0033333333333332993
functional_all,functional,cosine,200,8,16,0.97197150882514,0.9720270539603938,0.013063460165796506,0.013026459725515981,0.0033333333333332993
functional_all,functional,cosine,200,9,16,0.9628174456781883,0.9627439386192522,0.02080554284280397,0.02085242690218397,0.0033333333333332993
functional_all,functional,cosine,500,0,16,0.9752845189415467,0.9752499110011006,0.007848034164127365,0.007865985621439295,0.0013333333333332975
functional_all,functional,cosine,500,1,16,0.9770373668812735,0.9771420070219455,0.008803533752505071,0.008754246666974257,0.0013333333333332975
functional_all,functional,cosine,500,2,16,0.9725068563030971,0.9725467978900911,0.009737643665618679,0.00971490676106907,0.0013333333333332975
functional_all,functional,cosine,500,3,16,0.9822677318355785,0.9822954545665922,0.0024581180605274125,0.002444278856700525,0.0013333333333332975
functional_all,functional,cosine,500,4,16,0.9830239597074555,0.9830117852916699,0.009311078247609711,0.009319877454438508,0.0013333333333332975
functional_all,functional,cosine,500,5,16,0.9657493484792631,0.9657823847554035,0.01619210681494021,0.016179007749975723,0.0013333333333332975
functional_all,functional,cosine,500,6,16,0.9802581309408954,0.9802738996529716,0.01233902472022045,0.012329637136265906,0.0013333333333332975
functional_all,functional,cosine,500,7,16,0.9747787394948537,0.9747635759571305,0.008515951916860496,0.008522465059167018,0.0013333333333332975
functional_all,functional,cosine,500,8,16,0.9800687841496983,0.9800930741888773,0.006074215518390815,0.00605916745165325,0.0013333333333332975
functional_all,functional,cosine,500,9,16,0.9815182905708255,0.9815059946379892,0.004042597945293647,0.004050655048246759,0.0013333333333332975
functional_all,functional,cosine,1000,0,16,0.9750787645586078,0.9750664598636298,0.007397007763281485,0.007404235366597335,0.0006666666666667043
functional_all,functional,cosine,1000,1,16,0.9717467314421596,0.9717446752746219,0.011587158541178378,0.011588917504417498,0.0006666666666667043
functional_all,functional,cosine,1000,2,16,0.9781456946320785,0.9781413186103344,0.008152182371506118,0.008152963589511432,0.0006666666666667043
functional_all,functional,cosine,1000,3,16,0.9797497020266792,0.9797493839786806,0.005307017901754152,0.00530754595916679,0.0006666666666667043
functional_all,functional,cosine,1000,4,16,0.9818434684806994,0.9818421780895777,0.006057776420183602,0.006057717191097001,0.0006666666666667043
functional_all,functional,cosine,1000,5,16,0.9769806817809876,0.9769496156319463,0.007459126662866409,0.0074774011932228195,0.0006666666666667043
functional_all,functional,cosine,1000,6,16,0.9805218993890812,0.9805185441091363,0.007070042146677841,0.007073009443469836,0.0006666666666667043
functional_all,functional,cosine,1000,7,16,0.9777748315794309,0.9777670642743347,0.0059845573839325435,0.005989032527014684,0.0006666666666667043
functional_all,functional,cosine,1000,8,16,0.9792243686676375,0.9792113028527809,0.009445335610517702,0.00945437198872149,0.0006666666666667043
functional_all,functional,cosine,1000,9,16,0.9821584283560666,0.9821651625040712,0.0052237552435046245,0.0052219785828088216,0.0006666666666667043
functional_all,functional,cosine,2000,0,16,0.9782289917854916,0.9782264066249762,0.009420787469490603,0.009422516167353744,0.0003333333333332966
functional_all,functional,cosine,2000,1,16,0.9791151316925583,0.9791261121030389,0.008248646705489384,0.008243302533204187,0.0003333333333332966
functional_all,functional,cosine,2000,2,16,0.9782890317723293,0.9782957074464271,0.006237302384327245,0.006232571047709345,0.0003333333333332966
functional_all,functional,cosine,2000,3,16,0.9775510781584605,0.9775609372375557,0.00476874890900941,0.004763201712395654,0.0003333333333332966
functional_all,functional,cosine,2000,4,16,0.979130070993837,0.9791333238337615,0.009097608776247117,0.009096463937200025,0.0003333333333332966
functional_all,functional,cosine,2000,5,16,0.9848115091614059,0.9848097103575025,0.006087494970297118,0.006087942421100754,0.0003333333333332966
functional_all,functional,cosine,2000,6,16,0.9806856586462149,0.9806881388231483,0.005673410239386374,0.005672441612119461,0.0003333333333332966
functional_all,functional,cosine,2000,7,16,0.980616323597273,0.9806276528973102,0.006943033416067128,0.0069385108500941576,0.0003333333333332966
functional_all,functional,cosine,2000,8,16,0.978254029181185,0.978261931686331,0.016858867723202244,0.016855324023540473,0.0003333333333332966
functional_all,functional,cosine,2000,9,16,0.9796591366423818,0.9796583611361633,0.006898763967154989,0.00689924847718576,0.0003333333333332966
functional_all,functional,cosine,5000,0,16,0.9794333300942133,0.9794354056594713,0.007041795999024302,0.007040448638683187,0.00013333333333331865
functional_all,functional,cosine,5000,1,16,0.9728150110239375,0.9728144484234972,0.012712651992619726,0.012712274474442944,0.00013333333333331865
functional_all,functional,cosine,5000,2,16,0.9773538646124587,0.9773542149126988,0.006508832942575161,0.006508621166445713,0.00013333333333331865
functional_all,functional,cosine,5000,3,16,0.9811183812346065,0.981119114870419,0.005910043955314494,0.005909364902302682,0.00013333333333331865
functional_all,functional,cosine,5000,4,16,0.9796555712568207,0.9796571901759886,0.009744868719458339,0.009743975079274636,0.00013333333333331865
functional_all,functional,cosine,5000,5,16,0.9817231445475085,0.9817214002147686,0.006679857356280452,0.006680243632844867,0.00013333333333331865
